,Source language,Translation 1,Translation 2,Translation 3,Translation 4,Translation 5
67,"~ Larger ( d , e ) & ~ Smaller ( d , e )",d is not larger than e and d is not smaller than e,0,0,0,0
68,"SameRow ( a , b ) & ~ SameCol ( b , f )",a is in the same row as b and b is not in the same column as f,0,0,0,0
69,"SameRow ( b , a ) & ~ SameCol ( f , b )",b is in the same row as a and f is not in the same column as b,0,0,0,0
70,"~ ( SameCol ( c , e ) | SameCol ( e , d ) )",it is not the case that c is in the same column as e or e is in the same column as d,0,0,0,0
71,"( Larger ( c , e ) | SameSize ( c , e ) ) & ( Larger ( c , d ) | SameSize ( c , d ) )",c is larger than e or of the same size as e and larger than d or of the same size as d,0,0,0,0
72,"LeftOf ( a , f ) & RightOf ( b , f )",a is to the left of f and b is to the right of f,0,0,0,0
73,"~ SameCol ( b , f ) & SameRow ( b , a )",b is not in the same column as f and b is in the same row as a,0,0,0,0
74,"~ ( SameCol ( e , c ) | SameCol ( d , e ) )",it is not the case that e is in the same column as c or d is in the same column as e,0,0,0,0
75,"~ BackOf ( a , f )",a is not in back of f,0,0,0,0
76,"~ ( Larger ( d , c ) | Larger ( e , c ) )",it is not the case that d or e is larger than c,0,0,0,0
77,"~ ( Smaller ( e , d ) | Larger ( e , d ) )",it is not the case that e is smaller than d or larger than d,0,0,0,0
78,"~ SameCol ( c , e ) & ~ SameCol ( e , d )",c is not in the same column as e and e is not in the same column as d,0,0,0,0
79,"FrontOf ( a , f ) | Larger ( a , f )",a is in front of f or larger than f,0,0,0,0
80,"RightOf ( b , f ) & LeftOf ( a , f )",b is to the right of f and a is to the left of f,0,0,0,0
81,Small ( a ) | ( Large ( c ) & Large ( d ) ),a is small or c and d are large,0,0,0,0
82,"BackOf ( d , b ) & BackOf ( e , b )",d and e are in back of b,0,0,0,0
83,"BackOf ( d , b ) & BackOf ( e , b ) & Larger ( d , b ) & Larger ( e , b )","d is in back of b , e is in back of b , d is larger than b and e is larger than b",0,0,0,0
84,Cube ( d ) & Cube ( c ) & ~ Small ( d ) & ~ Small ( c ),"d is a cube , c is a cube , d is not small and c is not small",0,0,0,0
85,"~ Large ( e ) | BackOf ( e , a )",e is not large or e is in back of a,0,0,0,0
86,( Tet ( a ) & Tet ( e ) ) | ( Tet ( a ) & Tet ( f ) ),at least one of these holds : \item a is a tetrahedron and e is a tetrahedron \item a is a tetrahedron and f is a tetrahedron,0,0,0,0
87,"~ FrontOf ( d , c ) & ~ FrontOf ( d , b ) & ~ FrontOf ( c , b )","d is not in front of c , d is not in front of b and c is not in front of b",0,0,0,0
88,"~ SameCol ( e , c ) & ~ SameCol ( d , e )",e is not in the same column as c and d is not in the same column as e,0,0,0,0
89,"Smaller ( e , c ) & Smaller ( c , a )",e is smaller than c and c is smaller than a,0,0,0,0
90,"( Smaller ( e , c ) | SameSize ( e , c ) ) & ( Smaller ( d , c ) | SameSize ( d , c ) )",e and d are smaller than c or of the same size as c,0,0,0,0
91,"~ ~ SameSize ( e , d )",it is not the case that e is not of the same size as d,0,0,0,0
92,"Smaller ( f , a ) | FrontOf ( a , f )",f is smaller than a or a is in front of f,0,0,0,0
93,"( SameSize ( e , c ) | Smaller ( e , c ) ) & ( SameSize ( d , c ) | Smaller ( d , c ) )",e and d are of the same size as c or smaller than c,0,0,0,0
94,"FrontOf ( c , f ) & Larger ( f , c )",c is in front of f and f is larger than c,0,0,0,0
95,"~ SameCol ( d , e ) & ~ SameCol ( c , e )",d is not in the same column as e and c is not in the same column as e,0,0,0,0
96,"~ ( SameCol ( e , d ) | SameCol ( c , e ) )",it is not the case that e is in the same column as d or c is in the same column as e,0,0,0,0
97,"~ Smaller ( c , e ) & ~ Smaller ( c , d )",c is not smaller than e and c is not smaller than d,0,0,0,0
98,"Larger ( a , c ) & Smaller ( e , c )",a is larger than c and e is smaller than c,0,0,0,0
99,"BackOf ( f , c ) & Larger ( f , c )",f is in back of c and larger than c,0,0,0,0
100,"LeftOf ( a , f ) & LeftOf ( f , b )",a is to the left of f and f is to the left of b,0,0,0,0
101,"~ ~ SameRow ( b , a ) & ~ SameCol ( b , f )",it is not the case that b is not in the same row as a and b is not in the same column as f,0,0,0,0
102,"Larger ( c , e ) & Larger ( a , c )",c is larger than e and a is larger than c,0,0,0,0
103,"SameShape ( e , d )",e is of the same shape as d,0,0,0,0
104,"~ ( ~ Smaller ( c , a ) | ~ Larger ( c , e ) )",it is not the case that c is not smaller than a or c is not larger than e,0,0,0,0
105,"SameRow ( a , b ) & ~ SameCol ( f , b )",a is in the same row as b and f is not in the same column as b,0,0,0,0
106,"~ ( Smaller ( d , e ) | Smaller ( e , d ) )",it is not the case that d is smaller than e or e is smaller than d,0,0,0,0
107,"~ SameCol ( e , d ) & ~ SameCol ( c , e )",e is not in the same column as d and c is not in the same column as e,0,0,0,0
108,"~ ( ~ SameRow ( b , a ) | SameCol ( b , f ) )",it is not the case that b is not in the same row as a or b is in the same column as f,0,0,0,0
109,"~ ( Larger ( d , e ) | Smaller ( d , e ) )",it is not the case that d is larger than e or smaller than e,0,0,0,0
110,"Smaller ( e , c ) & Larger ( a , c )",e is smaller than c and a is larger than c,0,0,0,0
111,"BackOf ( f , a ) | SameRow ( f , a )",f is in back of a or in the same row as a,0,0,0,0
112,"~ SameCol ( e , d ) & ~ SameCol ( e , c ) & ~ SameCol ( e , d )","e is not in the same column as d , e is not in the same column as c and e is not in the same column as d",0,0,0,0
113,"SameRow ( b , a ) & ~ SameCol ( b , f ) & ~ SameCol ( b , f )","b is in the same row as a , b is not in the same column as f and b is not in the same column as f",0,0,0,0
114,"~ ( Smaller ( d , e ) | Larger ( d , e ) )",it is not the case that d is smaller than e or larger than e,0,0,0,0
115,"~ ( Smaller ( e , d ) | Smaller ( d , e ) )",it is not the case that e is smaller than d or d is smaller than e,0,0,0,0
116,"RightOf ( b , f ) & RightOf ( f , a )",b is to the right of f and f is to the right of a,0,0,0,0
117,"~ Smaller ( e , d ) & ~ Smaller ( d , e )",e is not smaller than d and d is not smaller than e,0,0,0,0
118,"FrontOf ( a , f ) | Smaller ( f , a )",a is in front of f or f is smaller than a,0,0,0,0
119,"~ SameCol ( f , b ) & SameRow ( a , b )",f is not in the same column as b and a is in the same row as b,0,0,0,0
120,"BackOf ( f , a ) | Larger ( a , f )",f is in back of a or a is larger than f,0,0,0,0
121,"BackOf ( f , c ) & Smaller ( c , f )",f is in back of c and c is smaller than f,0,0,0,0
122,Cube ( c ) & Cube ( d ) & ~ Small ( c ) & ~ Small ( d ),"c is a cube , d is a cube , c is not small and d is not small",0,0,0,0
123,"~ ( RightOf ( e , c ) & LeftOf ( e , b ) ) & ~ ( RightOf ( a , c ) & LeftOf ( a , b ) )",it is not the case that e is to the right of c and to the left of b and it is not the case that a is to the right of c and to the left of b,0,0,0,0
124,"~ ~ SameSize ( d , e )",it is not the case that d is not of the same size as e,0,0,0,0
125,"~ ( FrontOf ( d , c ) | FrontOf ( d , b ) ) & ~ ( FrontOf ( c , c ) | FrontOf ( c , b ) )",it is not the case that d is in front of c or in front of b and it is not the case that c is in front of itself or c is in front of b,0,0,0,0
126,"~ ( SameCol ( d , e ) | SameCol ( c , e ) )",it is not the case that d or c is in the same column as e,0,0,0,0
127,"SameRow ( a , b ) & ~ SameCol ( b , f ) & SameRow ( b , a )","a is in the same row as b , b is not in the same column as f and b is in the same row as a",0,0,0,0
128,"~ Larger ( d , e ) & ~ Larger ( e , d )",d is not larger than e and e is not larger than d,0,0,0,0
129,"Smaller ( c , f ) & BackOf ( f , c )",c is smaller than f and f is in back of c,0,0,0,0
130,"LeftOf ( f , b ) & LeftOf ( a , f )",f is to the left of b and a is to the left of f,0,0,0,0
131,"SameShape ( d , e )",d is of the same shape as e,0,0,0,0
132,"BackOf ( d , b ) & Larger ( d , b ) & BackOf ( e , b ) & Larger ( e , b )","d is in back of b , d is larger than b , e is in back of b and e is larger than b",0,0,0,0
133,Cube ( d ) & ~ Small ( d ) & Cube ( c ) & ~ Small ( c ),"d is a cube , d is not small , c is a cube and c is not small",0,0,0,0
134,"~ FrontOf ( d , c ) & ~ FrontOf ( d , b ) & ~ FrontOf ( c , c ) & ~ FrontOf ( c , b )","d is not in front of c , d is not in front of b , c is not in front of c and c is not in front of b",0,0,0,0
135,"~ ( FrontOf ( f , a ) | BackOf ( a , f ) )",it is not the case that f is in front of a or a is in back of f,0,0,0,0
136,"~ ( Larger ( e , c ) & Larger ( d , c ) ) & ~ ( Larger ( e , c ) | Larger ( d , c ) )",it is not the case that e and d are larger than c and it is not the case that e or d is larger than c,0,0,0,0
137,"~ ( SameCol ( d , e ) | SameCol ( e , c ) )",it is not the case that d is in the same column as e or e is in the same column as c,0,0,0,0
138,"~ ( Smaller ( c , e ) | Smaller ( c , d ) )",it is not the case that c is smaller than e or smaller than d,0,0,0,0
139,"( BackOf ( f , a ) | Smaller ( f , a ) ) & ( BackOf ( f , a ) | Smaller ( f , a ) )",f is in back of a or smaller than a and in back of a or smaller than a,0,0,0,0
140,"FrontOf ( c , f ) & BackOf ( f , c ) & Smaller ( c , f ) & Larger ( f , c )","c is in front of f , f is in back of c , c is smaller than f and f is larger than c",0,0,0,0
141,"( Larger ( c , d ) | SameSize ( c , d ) ) & ( Larger ( c , e ) | SameSize ( c , e ) )",c is larger than d or of the same size as d and larger than e or of the same size as e,0,0,0,0
142,"~ ~ ( FrontOf ( c , f ) & Smaller ( c , f ) )",it is not the case that it is not the case that c is in front of f and smaller than f,0,0,0,0
143,"~ ( FrontOf ( f , a ) & BackOf ( a , f ) )",it is not the case that f is in front of a and a is in back of f,0,0,0,0
144,"~ SameCol ( b , f ) & SameRow ( a , b )",b is not in the same column as f and a is in the same row as b,0,0,0,0
145,"Larger ( a , c ) & Larger ( c , e ) & Smaller ( c , a )","a is larger than c , c is larger than e and c is smaller than a",0,0,0,0
146,"( BackOf ( f , a ) & ~ Smaller ( f , a ) ) | Smaller ( f , a )",at least one of these holds : \item f is in back of a and f is not smaller than a \item f is smaller than a,0,0,0,0
147,"~ ( ~ BackOf ( f , a ) & ~ Smaller ( f , a ) )",it is not the case that f is not in back of a and f is not smaller than a,0,0,0,0
148,"BackOf ( f , a ) | ( ~ BackOf ( f , a ) & Smaller ( f , a ) )",at least one of these holds : \item f is in back of a \item f is not in back of a and f is smaller than a,0,0,0,0
149,"~ Smaller ( d , e ) & ~ Larger ( d , e )",d is not smaller than e and d is not larger than e,0,0,0,0
150,"~ Larger ( e , d ) & ~ Larger ( d , e ) & ~ Smaller ( e , d ) & ~ Smaller ( d , e )","e is not larger than d , d is not larger than e , e is not smaller than d and d is not smaller than e",0,0,0,0
151,"~ SameCol ( e , d ) & ~ SameCol ( e , c ) & ~ ( SameCol ( e , d ) | SameCol ( e , c ) )","e is not in the same column as d , e is not in the same column as c and it is not the case that e is in the same column as d or in the same column as c",0,0,0,0
152,"~ ~ ~ ~ ~ ~ ~ ~ ~ FrontOf ( f , a )",it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that f is not in front of a,0,0,0,0
153,"~ BackOf ( f , a ) $ Smaller ( f , a )","if f is not in back of a , then f is smaller than a",0,0,0,0
154,"~ ( ~ Larger ( e , c ) $ Larger ( d , c ) )","it is not the case that if e is not larger than c , then d is larger than c",0,0,0,0
155,"~ ( Larger ( d , e ) | Larger ( e , d ) )",it is not the case that d is larger than e or e is larger than d,0,0,0,0
156,"~ ( Smaller ( c , d ) | Smaller ( c , e ) )",it is not the case that c is smaller than d or smaller than e,0,0,0,0
157,"~ ~ FrontOf ( c , f ) & Smaller ( c , f )",it is not the case that c is not in front of f and c is smaller than f,0,0,0,0
158,"~ ~ ( ~ Larger ( e , d ) & ~ Smaller ( e , d ) )",it is not the case that it is not the case that e is not larger than d and e is not smaller than d,0,0,0,0
159,"~ ( FrontOf ( d , c ) | FrontOf ( c , b ) ) & ~ ( FrontOf ( c , c ) | FrontOf ( d , b ) )",it is not the case that d is in front of c or c is in front of b and it is not the case that c is in front of itself or d is in front of b,0,0,0,0
160,"~ SameCol ( e , c ) & ~ SameCol ( e , c ) & ~ SameCol ( e , d )","e is not in the same column as c , e is not in the same column as c and e is not in the same column as d",0,0,0,0
161,"Larger ( f , c ) & BackOf ( f , c )",f is larger than c and in back of c,0,0,0,0
162,"SameRow ( f , a ) | BackOf ( f , a )",f is in the same row as a or in back of a,0,0,0,0
163,"~ ~ ( Smaller ( c , a ) & Larger ( c , e ) )",it is not the case that it is not the case that c is smaller than a and larger than e,0,0,0,0
164,"~ ( Larger ( e , c ) | Larger ( d , c ) ) | ( ~ Larger ( e , c ) & ~ Larger ( d , c ) )",at least one of these holds : \item it is not the case that e or d is larger than c \item e is not larger than c and d is not larger than c,0,0,0,0
165,"~ ( SameCol ( e , c ) | SameCol ( e , d ) ) & ~ SameCol ( e , c ) & ~ SameCol ( e , d )","it is not the case that e is in the same column as c or in the same column as d , e is not in the same column as c and e is not in the same column as d",0,0,0,0
166,"~ ~ ( BackOf ( f , a ) | Smaller ( f , a ) )",it is not the case that it is not the case that f is in back of a or smaller than a,0,0,0,0
167,"~ Larger ( e , d ) & SameSize ( e , d )",e is not larger than d and e is of the same size as d,0,0,0,0
168,"SameSize ( e , d ) & SameSize ( d , e )",e is of the same size as d and d is of the same size as e,0,0,0,0
169,Cube ( d ) & Cube ( c ) & ~ ( Small ( d ) | Small ( c ) ),"d is a cube , c is a cube and it is not the case that d or c is small",0,0,0,0
170,"~ ( FrontOf ( d , c ) | FrontOf ( d , b ) | FrontOf ( c , c ) | FrontOf ( c , b ) )","it is not the case that d is in front of c , d is in front of b , c is in front of itself or c is in front of b",0,0,0,0
171,"( Smaller ( d , c ) | SameSize ( d , c ) ) & ( Smaller ( e , c ) | SameSize ( e , c ) )",d and e are smaller than c or of the same size as c,0,0,0,0
172,"~ ~ ~ SameCol ( e , c ) & ~ SameCol ( e , d )",it is not the case that it is not the case that e is not in the same column as c and e is not in the same column as d,0,0,0,0
173,Cube ( c ) & Cube ( d ) & ~ ( Small ( c ) | Small ( d ) ),"c is a cube , d is a cube and it is not the case that c or d is small",0,0,0,0
174,"~ FrontOf ( f , a ) & ( Dodec ( f ) | ~ Dodec ( f ) )",all these hold : \item f is not in front of a \item f is a dodecahedron or f is not a dodecahedron,0,0,0,0
175,"~ ~ ( SameRow ( b , a ) & ~ SameCol ( b , f ) )",it is not the case that it is not the case that b is in the same row as a and b is not in the same column as f,0,0,0,0
176,"~ FrontOf ( f , a ) & ~ BackOf ( a , f )",f is not in front of a and a is not in back of f,0,0,0,0
177,"~ ~ RightOf ( f , a ) & LeftOf ( f , b )",it is not the case that f is not to the right of a and f is to the left of b,0,0,0,0
178,"Larger ( f , c ) & FrontOf ( c , f )",f is larger than c and c is in front of f,0,0,0,0
179,"~ ( SameCol ( e , c ) | SameCol ( e , d ) ) & ~ ( SameCol ( e , c ) & SameCol ( e , d ) )",it is not the case that e is in the same column as c or in the same column as d and it is not the case that e is in the same column as c and in the same column as d,0,0,0,0
180,"~ ~ ( RightOf ( f , a ) & LeftOf ( f , b ) )",it is not the case that it is not the case that f is to the right of a and to the left of b,0,0,0,0
181,"SameSize ( e , d ) | SameSize ( d , e )",e is of the same size as d or d is of the same size as e,0,0,0,0
182,"~ ( Larger ( e , c ) & Smaller ( c , e ) ) & ~ ( Larger ( d , c ) & Smaller ( c , d ) )",it is not the case that e is larger than c and c is smaller than e and it is not the case that d is larger than c and c is smaller than d,0,0,0,0
183,"~ ~ BackOf ( f , a ) | Smaller ( f , a )",it is not the case that f is not in back of a or f is smaller than a,0,0,0,0
184,Student ( max ) & ~ Pet ( max ),max is a student and max is not a pet,0,0,0,0
185,"~ ( FrontOf ( f , a ) | FrontOf ( f , a ) )",it is not the case that f is in front of a or in front of a,0,0,0,0
186,"~ ( SameCol ( e , c ) & SameCol ( e , d ) ) & ~ ( SameCol ( e , c ) | SameCol ( e , d ) )",it is not the case that e is in the same column as c and in the same column as d and it is not the case that e is in the same column as c or in the same column as d,0,0,0,0
187,"SameRow ( b , a ) & ~ ( SameRow ( b , a ) & SameCol ( b , f ) )",b is in the same row as a and it is not the case that b is in the same row as a and in the same column as f,0,0,0,0
188,"( ~ RightOf ( e , c ) | ~ LeftOf ( e , b ) ) & ( ~ LeftOf ( a , b ) | ~ RightOf ( a , c ) )",all these hold : \item e is not to the right of c or e is not to the left of b \item a is not to the left of b or a is not to the right of c,0,0,0,0
189,"~ SameRow ( b , c )",b is not in the same row as c,0,0,0,0
190,"SameCol ( b , e ) & SameRow ( e , d ) & SameCol ( d , a )","b is in the same column as e , e is in the same row as d and d is in the same column as a",0,0,0,0
191,"~ ( RightOf ( a , c ) & LeftOf ( a , b ) ) & ~ ( RightOf ( e , c ) & LeftOf ( e , b ) )",it is not the case that a is to the right of c and to the left of b and it is not the case that e is to the right of c and to the left of b,0,0,0,0
192,"~ ( ( RightOf ( e , c ) & LeftOf ( e , b ) ) | ( RightOf ( a , c ) & LeftOf ( a , b ) ) )",it is not the case that e or a is to the right of c and to the left of b,0,0,0,0
193,"( ~ RightOf ( e , c ) | ~ LeftOf ( e , b ) ) & ( ~ RightOf ( a , c ) | ~ LeftOf ( a , b ) )",all these hold : \item e is not to the right of c or e is not to the left of b \item a is not to the right of c or a is not to the left of b,0,0,0,0
194,"~ ( FrontOf ( d , b ) | FrontOf ( d , c ) | FrontOf ( c , b ) | FrontOf ( c , c ) )","it is not the case that d is in front of b , d is in front of c , c is in front of b or c is in front of itself",0,0,0,0
195,( Large ( c ) & Large ( d ) ) | Small ( a ),c and d are large or a is small,0,0,0,0
196,"BackOf ( e , b ) & BackOf ( d , b )",e and d are in back of b,0,0,0,0
197,"BackOf ( e , b ) & BackOf ( d , b ) & Larger ( e , b ) & Larger ( d , b )","e is in back of b , d is in back of b , e is larger than b and d is larger than b",0,0,0,0
198,Cube ( c ) & Cube ( d ) & ~ Small ( d ) & ~ Small ( c ),"c is a cube , d is a cube , d is not small and c is not small",0,0,0,0
199,Cube ( d ) & Cube ( c ) & ~ ( Small ( c ) | Small ( d ) ),"d is a cube , c is a cube and it is not the case that c or d is small",0,0,0,0
200,"~ ( FrontOf ( d , c ) | FrontOf ( d , b ) | FrontOf ( c , b ) )","it is not the case that d is in front of c , d is in front of b or c is in front of b",0,0,0,0
201,"~ FrontOf ( d , c ) & ~ FrontOf ( c , c ) & ~ FrontOf ( c , b ) & ~ FrontOf ( d , b )","d is not in front of c , c is not in front of c , c is not in front of b and d is not in front of b",0,0,0,0
202,"~ ( FrontOf ( d , c ) | FrontOf ( d , b ) | FrontOf ( c , b ) | FrontOf ( c , c ) )","it is not the case that d is in front of c , d is in front of b , c is in front of b or c is in front of itself",0,0,0,0
203,"Larger ( d , b ) & BackOf ( d , b ) & Larger ( e , b ) & BackOf ( e , b )","d is larger than b , d is in back of b , e is larger than b and e is in back of b",0,0,0,0
204,Cube ( d ) & Cube ( c ) & ~ Small ( c ) & ~ Small ( d ),"d is a cube , c is a cube , c is not small and d is not small",0,0,0,0
205,"~ FrontOf ( d , c ) & ~ FrontOf ( d , b ) & ~ FrontOf ( c , b ) & ~ FrontOf ( c , c )","d is not in front of c , d is not in front of b , c is not in front of b and c is not in front of c",0,0,0,0
206,"~ FrontOf ( d , c ) & ~ FrontOf ( c , c ) & ~ FrontOf ( d , b ) & ~ FrontOf ( c , b )","d is not in front of c , c is not in front of c , d is not in front of b and c is not in front of b",0,0,0,0
207,~ Small ( d ) & ~ Small ( c ) & Cube ( d ) & Cube ( c ),"d is not small , c is not small , d is a cube and c is a cube",0,0,0,0
208,"~ ( FrontOf ( d , c ) | FrontOf ( c , c ) ) & ~ ( FrontOf ( d , b ) | FrontOf ( c , b ) )",it is not the case that d is in front of c or c is in front of itself and it is not the case that d or c is in front of b,0,0,0,0
209,"Larger ( d , b ) & Larger ( e , b ) & BackOf ( d , b ) & BackOf ( e , b )","d is larger than b , e is larger than b , d is in back of b and e is in back of b",0,0,0,0
210,"~ ( FrontOf ( d , c ) | FrontOf ( c , b ) ) & ~ ( FrontOf ( d , b ) | FrontOf ( c , c ) )",it is not the case that d is in front of c or c is in front of b and it is not the case that d is in front of b or c is in front of itself,0,0,0,0
211,"SameCol ( a , d ) & SameRow ( d , e ) & SameCol ( e , b )","a is in the same column as d , d is in the same row as e and e is in the same column as b",0,0,0,0
212,"SameCol ( b , e ) & SameRow ( e , d ) & SameCol ( a , d )","b is in the same column as e , e is in the same row as d and a is in the same column as d",0,0,0,0
213,"~ SameRow ( c , b )",c is not in the same row as b,0,0,0,0
214,( Tet ( e ) & Tet ( a ) ) | ( Tet ( a ) & Tet ( f ) ),at least one of these holds : \item e is a tetrahedron and a is a tetrahedron \item a is a tetrahedron and f is a tetrahedron,0,0,0,0
215,Tet ( a ) & ( Tet ( e ) | ( Tet ( a ) & Tet ( f ) ) ),a is a tetrahedron and at least one of these holds : \item e is a tetrahedron \item a is a tetrahedron and f is a tetrahedron,0,0,0,0
