,Latex formula,English translation 1,English translation 2,English translation 3,English translation 4,English translation 5,English translation 6,English translation 7,English translation 8,English translation 9,English translation 10
22,\sameSize { d } { e },d is the same size as e,0,0,0,0,0,0,0,0,0
23,( \forall x ) ( ( \forall y ) ( ( ( \small { x } ) \& ( \large { y } ) ) \supset \frontOf { x } { y } ) ),"for all x , for all y , if x is small and y is large , then x is in front of y",0,0,0,0,0,0,0,0,0
24,( \exists x ) ( ( \exists y ) ( ( ( x \in cube ) \& ( y \in tetrahedron ) ) \& ( \larger { x } { y } ) ) ),"there is an element x such that there is an element y such that x is a cube , y is a tetahedron and x is larger than y",0,0,0,0,0,0,0,0,0
25,( \forall x ) ( ( \forall y ) ( ( ( x \in cube ) \& ( y \in cube ) ) \supset \sameCol { x } { y } ) ),"for all x , for all y , if x is a cube and y is a cube , then x is in the same column as y",0,0,0,0,0,0,0,0,0
26,\sim ( ( \forall x ) ( ( \forall y ) ( ( ( x \in tetrahedron ) \& ( y \in tetrahedron ) ) \supset \sameCol { x } { y } ) ) ),"it is not the case that for all x , for all y , if x is a tetahedron and y is a tetahedron , then x is in the same column as y",0,0,0,0,0,0,0,0,0
27,\sim ( \sim ( \large { d } ) ),it is not the case that d is not large,0,0,0,0,0,0,0,0,0
28,( e \in dodec ) \vee ( ( ( \forall x ) ( x \in tetrahedron ) ) \& ( \sim ( ( \forall x ) ( x \in tetrahedron ) ) ) ),"at least one of these holds : \item e is a dodecagon \item for all x , x is a tetahedron and it is not the case that for all x , x is a tetahedron",0,0,0,0,0,0,0,0,0
29,( \forall x ) ( ( \forall y ) ( ( ( x \in cube ) \& ( \frontOf { y } { x } ) ) \supset \small { x } ) ),"for all x , for all y , if x is a cube and y is in front of x , then x is small",0,0,0,0,0,0,0,0,0
30,( \forall x ) ( ( \forall y ) ( ( ( ( x \in cube ) \& ( y \in dodec ) ) \& ( \backOf { x } { y } ) ) \supset \smaller { x } { y } ) ),"for all x , for all y , if x is a cube , y is a dodecagon and x is in back of y , then x is smaller than y",0,0,0,0,0,0,0,0,0
31,( \forall x ) ( ( x \in cube ) \supset \small { x } ),every cube is small,0,0,0,0,0,0,0,0,0
32,( \forall x ) ( ( ( x \in cube ) \& ( \small { x } ) ) \supset \rightOf { x } { a } ),"for all x , if x is a cube and x is small , then x is right of a",0,0,0,0,0,0,0,0,0
33,( \forall x ) ( ( x \in dodec ) \supset \leftOf { a } { x } ),a is left of every dodecagon,0,0,0,0,0,0,0,0,0
34,( \forall x ) ( ( ( x \in tetrahedron ) \& ( \medium { x } ) ) \supset \frontOf { x } { b } ),"for all x , if x is a tetahedron and x is medium , then x is in front of b",0,0,0,0,0,0,0,0,0
35,( \forall x ) ( ( x \in cube ) \supset ( \frontOf { x } { b } ) \vee ( \backOf { x } { a } ) ),every cube is in front of b or in back of a,0,0,0,0,0,0,0,0,0
36,( \forall x ) ( ( x \in cube ) \supset ( \rightOf { x } { a } ) \& ( \leftOf { x } { b } ) ),every cube is right of a and left of b,0,0,0,0,0,0,0,0,0
37,( \forall x ) ( ( x \in tetrahedron ) \supset \small { x } ),every tetahedron is small,0,0,0,0,0,0,0,0,0
38,( \exists x ) ( x \in cube ),there is an element x such that x is a cube,0,0,0,0,0,0,0,0,0
39,\sim ( \frontOf { f } { a } ),f is not in front of a,0,0,0,0,0,0,0,0,0
40,( \rightOf { f } { a } ) \& ( \leftOf { f } { b } ),f is right of a and left of b,0,0,0,0,0,0,0,0,0
41,( \backOf { f } { a } ) \vee ( \smaller { f } { a } ),f is in back of a or smaller than a,0,0,0,0,0,0,0,0,0
42,\sim ( ( \larger { e } { c } ) \vee ( \larger { d } { c } ) ),it is not the case that e or d is larger than c,0,0,0,0,0,0,0,0,0
43,( \smaller { c } { a } ) \& ( \larger { c } { e } ),c is smaller than a and larger than e,0,0,0,0,0,0,0,0,0
44,( \frontOf { c } { f } ) \& ( \smaller { c } { f } ),c is in front of f and smaller than f,0,0,0,0,0,0,0,0,0
45,( \sameRow { b } { a } ) \& ( \sim ( \sameCol { b } { f } ) ),b is in the same row as a and b is not in the same column as f,0,0,0,0,0,0,0,0,0
46,\sim ( ( \sameCol { e } { c } ) \vee ( \sameCol { e } { d } ) ),it is not the case that e is in the same column as c or in the same column as d,0,0,0,0,0,0,0,0,0
47,( \sim ( \larger { e } { c } ) ) \& ( \sim ( \larger { d } { c } ) ),e is not larger than c and d is not larger than c,0,0,0,0,0,0,0,0,0
48,( \sim ( \larger { e } { d } ) ) \& ( \sim ( \smaller { e } { d } ) ),e is not larger than d and e is not smaller than d,0,0,0,0,0,0,0,0,0
49,( \sim ( \sameCol { e } { c } ) ) \& ( \sim ( \sameCol { e } { d } ) ),e is not in the same column as c and e is not in the same column as d,0,0,0,0,0,0,0,0,0
50,\sim ( ( \larger { e } { d } ) \vee ( \smaller { e } { d } ) ),it is not the case that e is larger than d or smaller than d,0,0,0,0,0,0,0,0,0
51,( \sim ( \smaller { e } { d } ) ) \& ( \sim ( \larger { e } { d } ) ),e is not smaller than d and e is not larger than d,0,0,0,0,0,0,0,0,0
52,\sameSize { e } { d },e is the same size as d,0,0,0,0,0,0,0,0,0
53,( \smaller { c } { f } ) \& ( \frontOf { c } { f } ),c is smaller than f and in front of f,0,0,0,0,0,0,0,0,0
54,\sim ( ( \sameCol { c } { e } ) \vee ( \sameCol { d } { e } ) ),it is not the case that c or d is in the same column as e,0,0,0,0,0,0,0,0,0
55,( \rightOf { f } { a } ) \& ( \rightOf { b } { f } ),f is right of a and b is right of f,0,0,0,0,0,0,0,0,0
56,( \smaller { c } { a } ) \& ( \smaller { e } { c } ),c is smaller than a and e is smaller than c,0,0,0,0,0,0,0,0,0
57,( \sim ( \sameCol { e } { d } ) ) \& ( \sim ( \sameCol { e } { c } ) ),e is not in the same column as d and e is not in the same column as c,0,0,0,0,0,0,0,0,0
58,( \smaller { f } { a } ) \vee ( \backOf { f } { a } ),f is smaller than a or in back of a,0,0,0,0,0,0,0,0,0
59,( \sim ( \sameCol { c } { e } ) ) \& ( \sim ( \sameCol { d } { e } ) ),c is not in the same column as e and d is not in the same column as e,0,0,0,0,0,0,0,0,0
60,\sim ( ( \larger { e } { d } ) \vee ( \larger { d } { e } ) ),it is not the case that e is larger than d or d is larger than e,0,0,0,0,0,0,0,0,0
61,\sim ( ( \sameCol { e } { d } ) \vee ( \sameCol { e } { c } ) ),it is not the case that e is in the same column as d or in the same column as c,0,0,0,0,0,0,0,0,0
62,( \sim ( \larger { e } { d } ) ) \& ( \sim ( \larger { d } { e } ) ),e is not larger than d and d is not larger than e,0,0,0,0,0,0,0,0,0
63,( \larger { a } { c } ) \& ( \larger { c } { e } ),a is larger than c and c is larger than e,0,0,0,0,0,0,0,0,0
64,( \larger { c } { e } ) \& ( \smaller { c } { a } ),c is larger than e and smaller than a,0,0,0,0,0,0,0,0,0
65,( \leftOf { f } { b } ) \& ( \rightOf { f } { a } ),f is left of b and right of a,0,0,0,0,0,0,0,0,0
66,( \sim ( \larger { d } { c } ) ) \& ( \sim ( \larger { e } { c } ) ),d is not larger than c and e is not larger than c,0,0,0,0,0,0,0,0,0
67,( \sim ( \larger { d } { e } ) ) \& ( \sim ( \smaller { d } { e } ) ),d is not larger than e and d is not smaller than e,0,0,0,0,0,0,0,0,0
68,( \sameRow { a } { b } ) \& ( \sim ( \sameCol { b } { f } ) ),a is in the same row as b and b is not in the same column as f,0,0,0,0,0,0,0,0,0
69,( \sameRow { b } { a } ) \& ( \sim ( \sameCol { f } { b } ) ),b is in the same row as a and f is not in the same column as b,0,0,0,0,0,0,0,0,0
70,\sim ( ( \sameCol { c } { e } ) \vee ( \sameCol { e } { d } ) ),it is not the case that c is in the same column as e or e is in the same column as d,0,0,0,0,0,0,0,0,0
71,( ( \larger { c } { e } ) \vee ( \sameSize { c } { e } ) ) \& ( ( \larger { c } { d } ) \vee ( \sameSize { c } { d } ) ),c is larger than e or the same size as e and larger than d or the same size as d,0,0,0,0,0,0,0,0,0
72,( \leftOf { a } { f } ) \& ( \rightOf { b } { f } ),a is left of f and b is right of f,0,0,0,0,0,0,0,0,0
73,( \sim ( \sameCol { b } { f } ) ) \& ( \sameRow { b } { a } ),b is not in the same column as f and b is in the same row as a,0,0,0,0,0,0,0,0,0
74,\sim ( ( \sameCol { e } { c } ) \vee ( \sameCol { d } { e } ) ),it is not the case that e is in the same column as c or d is in the same column as e,0,0,0,0,0,0,0,0,0
75,\sim ( \backOf { a } { f } ),a is not in back of f,0,0,0,0,0,0,0,0,0
76,\sim ( ( \larger { d } { c } ) \vee ( \larger { e } { c } ) ),it is not the case that d or e is larger than c,0,0,0,0,0,0,0,0,0
77,\sim ( ( \smaller { e } { d } ) \vee ( \larger { e } { d } ) ),it is not the case that e is smaller than d or larger than d,0,0,0,0,0,0,0,0,0
78,( \sim ( \sameCol { c } { e } ) ) \& ( \sim ( \sameCol { e } { d } ) ),c is not in the same column as e and e is not in the same column as d,0,0,0,0,0,0,0,0,0
79,( \frontOf { a } { f } ) \vee ( \larger { a } { f } ),a is in front of f or larger than f,0,0,0,0,0,0,0,0,0
80,( \rightOf { b } { f } ) \& ( \leftOf { a } { f } ),b is right of f and a is left of f,0,0,0,0,0,0,0,0,0
81,( \small { a } ) \vee ( ( \large { c } ) \& ( \large { d } ) ),a is small or c and d are large,0,0,0,0,0,0,0,0,0
82,( \backOf { d } { b } ) \& ( \backOf { e } { b } ),d and e are in back of b,0,0,0,0,0,0,0,0,0
83,( ( ( \backOf { d } { b } ) \& ( \backOf { e } { b } ) ) \& ( \larger { d } { b } ) ) \& ( \larger { e } { b } ),"d is in back of b , e is in back of b , d is larger than b and e is larger than b",0,0,0,0,0,0,0,0,0
84,( ( ( d \in cube ) \& ( c \in cube ) ) \& ( \sim ( \small { d } ) ) ) \& ( \sim ( \small { c } ) ),"d is a cube , c is a cube , d is not small and c is not small",0,0,0,0,0,0,0,0,0
85,( \sim ( \large { e } ) ) \vee ( \backOf { e } { a } ),e is not large or e is in back of a,0,0,0,0,0,0,0,0,0
86,( ( a \in tetrahedron ) \& ( e \in tetrahedron ) ) \vee ( ( a \in tetrahedron ) \& ( f \in tetrahedron ) ),at least one of these holds : \item a is a tetahedron and e is a tetahedron \item a is a tetahedron and f is a tetahedron,0,0,0,0,0,0,0,0,0
87,( ( \sim ( \frontOf { d } { c } ) ) \& ( \sim ( \frontOf { d } { b } ) ) ) \& ( \sim ( \frontOf { c } { b } ) ),"d is not in front of c , d is not in front of b and c is not in front of b",0,0,0,0,0,0,0,0,0
88,( \sim ( \sameCol { e } { c } ) ) \& ( \sim ( \sameCol { d } { e } ) ),e is not in the same column as c and d is not in the same column as e,0,0,0,0,0,0,0,0,0
89,( \smaller { e } { c } ) \& ( \smaller { c } { a } ),e is smaller than c and c is smaller than a,0,0,0,0,0,0,0,0,0
90,( ( \smaller { e } { c } ) \vee ( \sameSize { e } { c } ) ) \& ( ( \smaller { d } { c } ) \vee ( \sameSize { d } { c } ) ),e and d are smaller than c or the same size as c,0,0,0,0,0,0,0,0,0
91,\sim ( \sim ( \sameSize { e } { d } ) ),it is not the case that e is not the same size as d,0,0,0,0,0,0,0,0,0
92,( \smaller { f } { a } ) \vee ( \frontOf { a } { f } ),f is smaller than a or a is in front of f,0,0,0,0,0,0,0,0,0
93,( ( \sameSize { e } { c } ) \vee ( \smaller { e } { c } ) ) \& ( ( \sameSize { d } { c } ) \vee ( \smaller { d } { c } ) ),e and d are the same size as c or smaller than c,0,0,0,0,0,0,0,0,0
94,( \frontOf { c } { f } ) \& ( \larger { f } { c } ),c is in front of f and f is larger than c,0,0,0,0,0,0,0,0,0
95,( \sim ( \sameCol { d } { e } ) ) \& ( \sim ( \sameCol { c } { e } ) ),d is not in the same column as e and c is not in the same column as e,0,0,0,0,0,0,0,0,0
96,\sim ( ( \sameCol { e } { d } ) \vee ( \sameCol { c } { e } ) ),it is not the case that e is in the same column as d or c is in the same column as e,0,0,0,0,0,0,0,0,0
97,( \sim ( \smaller { c } { e } ) ) \& ( \sim ( \smaller { c } { d } ) ),c is not smaller than e and c is not smaller than d,0,0,0,0,0,0,0,0,0
98,( \larger { a } { c } ) \& ( \smaller { e } { c } ),a is larger than c and e is smaller than c,0,0,0,0,0,0,0,0,0
99,( \backOf { f } { c } ) \& ( \larger { f } { c } ),f is in back of c and larger than c,0,0,0,0,0,0,0,0,0
100,( \leftOf { a } { f } ) \& ( \leftOf { f } { b } ),a is left of f and f is left of b,0,0,0,0,0,0,0,0,0
101,( \sim ( \sim ( \sameRow { b } { a } ) ) ) \& ( \sim ( \sameCol { b } { f } ) ),it is not the case that b is not in the same row as a and b is not in the same column as f,0,0,0,0,0,0,0,0,0
102,( \larger { c } { e } ) \& ( \larger { a } { c } ),c is larger than e and a is larger than c,0,0,0,0,0,0,0,0,0
103,\sameShape { e } { d },e is the same shape as d,0,0,0,0,0,0,0,0,0
104,\sim ( ( \sim ( \smaller { c } { a } ) ) \vee ( \sim ( \larger { c } { e } ) ) ),it is not the case that c is not smaller than a or c is not larger than e,0,0,0,0,0,0,0,0,0
105,( \sameRow { a } { b } ) \& ( \sim ( \sameCol { f } { b } ) ),a is in the same row as b and f is not in the same column as b,0,0,0,0,0,0,0,0,0
106,\sim ( ( \smaller { d } { e } ) \vee ( \smaller { e } { d } ) ),it is not the case that d is smaller than e or e is smaller than d,0,0,0,0,0,0,0,0,0
107,( \sim ( \sameCol { e } { d } ) ) \& ( \sim ( \sameCol { c } { e } ) ),e is not in the same column as d and c is not in the same column as e,0,0,0,0,0,0,0,0,0
108,\sim ( ( \sim ( \sameRow { b } { a } ) ) \vee ( \sameCol { b } { f } ) ),it is not the case that b is not in the same row as a or b is in the same column as f,0,0,0,0,0,0,0,0,0
109,\sim ( ( \larger { d } { e } ) \vee ( \smaller { d } { e } ) ),it is not the case that d is larger than e or smaller than e,0,0,0,0,0,0,0,0,0
110,( \smaller { e } { c } ) \& ( \larger { a } { c } ),e is smaller than c and a is larger than c,0,0,0,0,0,0,0,0,0
111,( \backOf { f } { a } ) \vee ( \sameRow { f } { a } ),f is in back of a or in the same row as a,0,0,0,0,0,0,0,0,0
112,( ( \sim ( \sameCol { e } { d } ) ) \& ( \sim ( \sameCol { e } { c } ) ) ) \& ( \sim ( \sameCol { e } { d } ) ),"e is not in the same column as d , e is not in the same column as c and e is not in the same column as d",0,0,0,0,0,0,0,0,0
113,( ( \sameRow { b } { a } ) \& ( \sim ( \sameCol { b } { f } ) ) ) \& ( \sim ( \sameCol { b } { f } ) ),"b is in the same row as a , b is not in the same column as f and b is not in the same column as f",0,0,0,0,0,0,0,0,0
114,\sim ( ( \smaller { d } { e } ) \vee ( \larger { d } { e } ) ),it is not the case that d is smaller than e or larger than e,0,0,0,0,0,0,0,0,0
115,\sim ( ( \smaller { e } { d } ) \vee ( \smaller { d } { e } ) ),it is not the case that e is smaller than d or d is smaller than e,0,0,0,0,0,0,0,0,0
116,( \rightOf { b } { f } ) \& ( \rightOf { f } { a } ),b is right of f and f is right of a,0,0,0,0,0,0,0,0,0
117,( \sim ( \smaller { e } { d } ) ) \& ( \sim ( \smaller { d } { e } ) ),e is not smaller than d and d is not smaller than e,0,0,0,0,0,0,0,0,0
118,( \frontOf { a } { f } ) \vee ( \smaller { f } { a } ),a is in front of f or f is smaller than a,0,0,0,0,0,0,0,0,0
119,( \sim ( \sameCol { f } { b } ) ) \& ( \sameRow { a } { b } ),f is not in the same column as b and a is in the same row as b,0,0,0,0,0,0,0,0,0
120,( \backOf { f } { a } ) \vee ( \larger { a } { f } ),f is in back of a or a is larger than f,0,0,0,0,0,0,0,0,0
121,( \backOf { f } { c } ) \& ( \smaller { c } { f } ),f is in back of c and c is smaller than f,0,0,0,0,0,0,0,0,0
122,( ( ( c \in cube ) \& ( d \in cube ) ) \& ( \sim ( \small { c } ) ) ) \& ( \sim ( \small { d } ) ),"c is a cube , d is a cube , c is not small and d is not small",0,0,0,0,0,0,0,0,0
123,( \sim ( ( \rightOf { e } { c } ) \& ( \leftOf { e } { b } ) ) ) \& ( \sim ( ( \rightOf { a } { c } ) \& ( \leftOf { a } { b } ) ) ),it is not the case that e is right of c and left of b and it is not the case that a is right of c and left of b,0,0,0,0,0,0,0,0,0
124,\sim ( \sim ( \sameSize { d } { e } ) ),it is not the case that d is not the same size as e,0,0,0,0,0,0,0,0,0
125,( \sim ( ( \frontOf { d } { c } ) \vee ( \frontOf { d } { b } ) ) ) \& ( \sim ( ( \frontOf { c } { c } ) \vee ( \frontOf { c } { b } ) ) ),it is not the case that d is in front of c or in front of b and it is not the case that c is in front of itself or c is in front of b,0,0,0,0,0,0,0,0,0
126,\sim ( ( \sameCol { d } { e } ) \vee ( \sameCol { c } { e } ) ),it is not the case that d or c is in the same column as e,0,0,0,0,0,0,0,0,0
127,( ( \sameRow { a } { b } ) \& ( \sim ( \sameCol { b } { f } ) ) ) \& ( \sameRow { b } { a } ),"a is in the same row as b , b is not in the same column as f and b is in the same row as a",0,0,0,0,0,0,0,0,0
128,( \sim ( \larger { d } { e } ) ) \& ( \sim ( \larger { e } { d } ) ),d is not larger than e and e is not larger than d,0,0,0,0,0,0,0,0,0
129,( \smaller { c } { f } ) \& ( \backOf { f } { c } ),c is smaller than f and f is in back of c,0,0,0,0,0,0,0,0,0
130,( \leftOf { f } { b } ) \& ( \leftOf { a } { f } ),f is left of b and a is left of f,0,0,0,0,0,0,0,0,0
131,\sameShape { d } { e },d is the same shape as e,0,0,0,0,0,0,0,0,0
132,( ( ( \backOf { d } { b } ) \& ( \larger { d } { b } ) ) \& ( \backOf { e } { b } ) ) \& ( \larger { e } { b } ),"d is in back of b , d is larger than b , e is in back of b and e is larger than b",0,0,0,0,0,0,0,0,0
133,( ( ( d \in cube ) \& ( \sim ( \small { d } ) ) ) \& ( c \in cube ) ) \& ( \sim ( \small { c } ) ),"d is a cube , d is not small , c is a cube and c is not small",0,0,0,0,0,0,0,0,0
134,( ( ( \sim ( \frontOf { d } { c } ) ) \& ( \sim ( \frontOf { d } { b } ) ) ) \& ( \sim ( \frontOf { c } { c } ) ) ) \& ( \sim ( \frontOf { c } { b } ) ),"d is not in front of c , d is not in front of b , c is not in front of c and c is not in front of b","d is not in front of c , d is not in front of b , c is not in front of itself and c is not in front of b",0,0,0,0,0,0,0,0
135,\sim ( ( \frontOf { f } { a } ) \vee ( \backOf { a } { f } ) ),it is not the case that f is in front of a or a is in back of f,0,0,0,0,0,0,0,0,0
136,( \sim ( ( \larger { e } { c } ) \& ( \larger { d } { c } ) ) ) \& ( \sim ( ( \larger { e } { c } ) \vee ( \larger { d } { c } ) ) ),it is not the case that e and d are larger than c and it is not the case that e or d is larger than c,0,0,0,0,0,0,0,0,0
137,\sim ( ( \sameCol { d } { e } ) \vee ( \sameCol { e } { c } ) ),it is not the case that d is in the same column as e or e is in the same column as c,0,0,0,0,0,0,0,0,0
138,\sim ( ( \smaller { c } { e } ) \vee ( \smaller { c } { d } ) ),it is not the case that c is smaller than e or smaller than d,0,0,0,0,0,0,0,0,0
139,( ( \backOf { f } { a } ) \vee ( \smaller { f } { a } ) ) \& ( ( \backOf { f } { a } ) \vee ( \smaller { f } { a } ) ),f is in back of a or smaller than a and in back of a or smaller than a,0,0,0,0,0,0,0,0,0
140,( ( ( \frontOf { c } { f } ) \& ( \backOf { f } { c } ) ) \& ( \smaller { c } { f } ) ) \& ( \larger { f } { c } ),"c is in front of f , f is in back of c , c is smaller than f and f is larger than c",0,0,0,0,0,0,0,0,0
141,( ( \larger { c } { d } ) \vee ( \sameSize { c } { d } ) ) \& ( ( \larger { c } { e } ) \vee ( \sameSize { c } { e } ) ),c is larger than d or the same size as d and larger than e or the same size as e,0,0,0,0,0,0,0,0,0
142,\sim ( \sim ( ( \frontOf { c } { f } ) \& ( \smaller { c } { f } ) ) ),it is not the case that it is not the case that c is in front of f and smaller than f,0,0,0,0,0,0,0,0,0
143,\sim ( ( \frontOf { f } { a } ) \& ( \backOf { a } { f } ) ),it is not the case that f is in front of a and a is in back of f,0,0,0,0,0,0,0,0,0
144,( \sim ( \sameCol { b } { f } ) ) \& ( \sameRow { a } { b } ),b is not in the same column as f and a is in the same row as b,0,0,0,0,0,0,0,0,0
145,( ( \larger { a } { c } ) \& ( \larger { c } { e } ) ) \& ( \smaller { c } { a } ),"a is larger than c , c is larger than e and c is smaller than a",0,0,0,0,0,0,0,0,0
146,( ( \backOf { f } { a } ) \& ( \sim ( \smaller { f } { a } ) ) ) \vee ( \smaller { f } { a } ),at least one of these holds : \item f is in back of a and f is not smaller than a \item f is smaller than a,0,0,0,0,0,0,0,0,0
147,\sim ( ( \sim ( \backOf { f } { a } ) ) \& ( \sim ( \smaller { f } { a } ) ) ),it is not the case that f is not in back of a and f is not smaller than a,0,0,0,0,0,0,0,0,0
148,( \backOf { f } { a } ) \vee ( ( \sim ( \backOf { f } { a } ) ) \& ( \smaller { f } { a } ) ),at least one of these holds : \item f is in back of a \item f is not in back of a and f is smaller than a,0,0,0,0,0,0,0,0,0
149,( \sim ( \smaller { d } { e } ) ) \& ( \sim ( \larger { d } { e } ) ),d is not smaller than e and d is not larger than e,0,0,0,0,0,0,0,0,0
150,( ( ( \sim ( \larger { e } { d } ) ) \& ( \sim ( \larger { d } { e } ) ) ) \& ( \sim ( \smaller { e } { d } ) ) ) \& ( \sim ( \smaller { d } { e } ) ),"e is not larger than d , d is not larger than e , e is not smaller than d and d is not smaller than e",0,0,0,0,0,0,0,0,0
151,( ( \sim ( \sameCol { e } { d } ) ) \& ( \sim ( \sameCol { e } { c } ) ) ) \& ( \sim ( ( \sameCol { e } { d } ) \vee ( \sameCol { e } { c } ) ) ),"e is not in the same column as d , e is not in the same column as c and it is not the case that e is in the same column as d or in the same column as c",0,0,0,0,0,0,0,0,0
152,\sim ( \sim ( \sim ( \sim ( \sim ( \sim ( \sim ( \sim ( \sim ( \frontOf { f } { a } ) ) ) ) ) ) ) ) ),it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that it is not the case that f is not in front of a,0,0,0,0,0,0,0,0,0
153,( \sim ( \backOf { f } { a } ) ) \supset \smaller { f } { a },"if f is not in back of a , then f is smaller than a",0,0,0,0,0,0,0,0,0
154,\sim ( ( \sim ( \larger { e } { c } ) ) \supset \larger { d } { c } ),"it is not the case that if e is not larger than c , then d is larger than c",0,0,0,0,0,0,0,0,0
155,\sim ( ( \larger { d } { e } ) \vee ( \larger { e } { d } ) ),it is not the case that d is larger than e or e is larger than d,0,0,0,0,0,0,0,0,0
156,\sim ( ( \smaller { c } { d } ) \vee ( \smaller { c } { e } ) ),it is not the case that c is smaller than d or smaller than e,0,0,0,0,0,0,0,0,0
157,( \sim ( \sim ( \frontOf { c } { f } ) ) ) \& ( \smaller { c } { f } ),it is not the case that c is not in front of f and c is smaller than f,0,0,0,0,0,0,0,0,0
158,\sim ( \sim ( ( \sim ( \larger { e } { d } ) ) \& ( \sim ( \smaller { e } { d } ) ) ) ),it is not the case that it is not the case that e is not larger than d and e is not smaller than d,0,0,0,0,0,0,0,0,0
159,( \sim ( ( \frontOf { d } { c } ) \vee ( \frontOf { c } { b } ) ) ) \& ( \sim ( ( \frontOf { c } { c } ) \vee ( \frontOf { d } { b } ) ) ),it is not the case that d is in front of c or c is in front of b and it is not the case that c is in front of itself or d is in front of b,0,0,0,0,0,0,0,0,0
160,( ( \sim ( \sameCol { e } { c } ) ) \& ( \sim ( \sameCol { e } { c } ) ) ) \& ( \sim ( \sameCol { e } { d } ) ),"e is not in the same column as c , e is not in the same column as c and e is not in the same column as d",0,0,0,0,0,0,0,0,0
161,( \larger { f } { c } ) \& ( \backOf { f } { c } ),f is larger than c and in back of c,0,0,0,0,0,0,0,0,0
162,( \sameRow { f } { a } ) \vee ( \backOf { f } { a } ),f is in the same row as a or in back of a,0,0,0,0,0,0,0,0,0
163,\sim ( \sim ( ( \smaller { c } { a } ) \& ( \larger { c } { e } ) ) ),it is not the case that it is not the case that c is smaller than a and larger than e,0,0,0,0,0,0,0,0,0
164,( \sim ( ( \larger { e } { c } ) \vee ( \larger { d } { c } ) ) ) \vee ( ( \sim ( \larger { e } { c } ) ) \& ( \sim ( \larger { d } { c } ) ) ),at least one of these holds : \item it is not the case that e or d is larger than c \item e is not larger than c and d is not larger than c,0,0,0,0,0,0,0,0,0
165,( ( \sim ( ( \sameCol { e } { c } ) \vee ( \sameCol { e } { d } ) ) ) \& ( \sim ( \sameCol { e } { c } ) ) ) \& ( \sim ( \sameCol { e } { d } ) ),"it is not the case that e is in the same column as c or in the same column as d , e is not in the same column as c and e is not in the same column as d",0,0,0,0,0,0,0,0,0
166,\sim ( \sim ( ( \backOf { f } { a } ) \vee ( \smaller { f } { a } ) ) ),it is not the case that it is not the case that f is in back of a or smaller than a,0,0,0,0,0,0,0,0,0
167,( \sim ( \larger { e } { d } ) ) \& ( \sameSize { e } { d } ),e is not larger than d and e is the same size as d,0,0,0,0,0,0,0,0,0
168,( \sameSize { e } { d } ) \& ( \sameSize { d } { e } ),e is the same size as d and d is the same size as e,0,0,0,0,0,0,0,0,0
169,( ( d \in cube ) \& ( c \in cube ) ) \& ( \sim ( ( \small { d } ) \vee ( \small { c } ) ) ),"d is a cube , c is a cube and it is not the case that d or c is small",0,0,0,0,0,0,0,0,0
170,\sim ( ( ( ( \frontOf { d } { c } ) \vee ( \frontOf { d } { b } ) ) \vee ( \frontOf { c } { c } ) ) \vee ( \frontOf { c } { b } ) ),"it is not the case that d is in front of c , d is in front of b , c is in front of itself or c is in front of b",0,0,0,0,0,0,0,0,0
